id,name,psc,latitude,longitude,location,country
4691,Soběšice,34201,49.207905,13.684205,SRID=4326;POINT (49.207905 13.684205),CZ
4692,Soběšín,28506,49.791162,14.955973,SRID=4326;POINT (49.791162 14.955973),CZ
4693,Soběšovice,73938,49.724989,18.4663,SRID=4326;POINT (49.724989 18.466300),CZ
4694,Sobětuchy,53701,49.933341,15.764066,SRID=4326;POINT (49.933341 15.764066),CZ
4695,Sobíňov,58262,49.701095,15.766977,SRID=4326;POINT (49.701095 15.766977),CZ
4696,Sobíšky,75121,49.503857,17.450876,SRID=4326;POINT (49.503857 17.450876),CZ
4697,Sobkovice,56164,50.048008,16.595086,SRID=4326;POINT (50.048008 16.595086),CZ
4698,Sobotín,78816,50.011797,17.090856,SRID=4326;POINT (50.011797 17.090856),CZ
4699,Sobotka,50743,50.467515,15.176299,SRID=4326;POINT (50.467515 15.176299),CZ
4700,Sobotovice,66467,49.059999,16.557396,SRID=4326;POINT (49.059999 16.557396),CZ
4701,Sobůlky,69701,49.01974,17.079041,SRID=4326;POINT (49.019740 17.079041),CZ
4702,Sojovice,29475,50.222234,14.762139,SRID=4326;POINT (50.222234 14.762139),CZ
